,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
36,Maruti Alto K10,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,90.0,5
37,Hyundai Verna VTVT,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5
38,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,104.0,5
39,Tata Safari DICOR,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,320.0,7
40,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59.0,4
41,Jeep Compass 1.4,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250.0,5
42,Honda City i,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,145.0,5
43,Honda City V,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,146.0,5
44,Maruti Swift Dzire,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,115.0,5
45,Maruti Vitara Brezza,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,200.0,5
46,Maruti Alto K10,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90.0,5
47,Toyota Fortuner 4x4,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,343.0,7
48,Toyota Innova 2.5,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,200.0,7
49,Mercedes-Benz B Class,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,200.0,5
50,Honda Amaze S,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,200.0,5
51,Mitsubishi Pajero Sport,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,400.0,7
52,Honda City i,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200.0,5
53,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,138.0,5
54,Honda Jazz VX,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,200.0,5
55,Toyota Innova Crysta,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,360.0,7
56,Toyota Innova 2.5,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,200.0,7
57,Audi A6 2.0,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,380.0,5
58,Toyota Corolla Altis,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,173.0,5
59,Audi A6 2.0,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,400.0,5
60,Mercedes-Benz New C-Class,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,400.0,5
61,Tata Manza ELAN,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,200.0,5
62,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.7,5
63,Hyundai i20 Asta,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,219.6,5
64,Maruti Swift Dzire,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,190.0,5
65,Ford Figo 1.2P,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,112.0,5
66,Maruti Baleno Delta,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5
67,Volkswagen Ameo 1.5,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,250.0,5
68,Honda City i,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200.0,5
69,Maruti Wagon R,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,90.0,5
70,Volkswagen Ameo 1.5,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,250.0,5
71,Maruti Vitara Brezza,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5
72,Maruti Vitara Brezza,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,200.0,5
73,Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.7,5
74,Maruti Swift VDI,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190.0,5
75,Toyota Fortuner 4x4,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,343.0,7
76,Maruti Swift Star,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5
77,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,130.0,7
78,Tata Indica DLS,2003,50000,70000,Diesel,Individual,Manual,First Owner,0.0,0,0.0,0.0,0
79,Volkswagen Vento Diesel,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,250.0,5
80,Toyota Innova 2.5,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200.0,8
81,Ford EcoSport 1.5,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,205.0,5
82,BMW X1 sDrive20i,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,280.0,5
83,Maruti Celerio ZXI,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,90.0,5
84,Datsun GO A,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,104.0,5
85,Maruti Alto 800,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5
86,Maruti Alto 800,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5
87,Maruti Swift VDI,2015,475000,78000,Diesel,Dealer,Manual,First Owner,0.0,0,0.0,0.0,0
88,Hyundai i10 Era,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,99.04,5
89,Maruti Omni 8,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,6.1,5
90,Maruti Wagon R,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,77.0,5
91,Volkswagen Polo 1.2,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,110.0,5
92,Hyundai i10 Magna,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,99.04,5
93,Volkswagen Vento Petrol,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,153.0,5
94,Maruti Zen Estilo,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,90.0,5
95,Hyundai i20 Asta,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,113.7,5
96,Maruti Swift Dzire,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5
97,Hyundai Xcent 1.2,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,114.0,5
98,Maruti Alto LX,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,62.0,5
99,Hyundai i20 1.4,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5
100,Maruti Wagon R,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,90.0,5
101,Tata Manza Aura,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,200.0,5
102,Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5
103,Maruti Eeco 7,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,101.0,7
104,Maruti Baleno Zeta,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5
105,Mahindra Scorpio VLX,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,290.0,8
106,Ford Freestyle Titanium,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,120.0,5
107,Hyundai Verna VTVT,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5
108,Volkswagen Passat 1.8,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,250.0,5
109,Tata Indica Vista,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,96.0,5
110,Mahindra XUV500 W11,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,360.0,7
111,Tata Indigo CS,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5
112,Hyundai Verna 1.6,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8,5
113,Hyundai i20 Magna,2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,219.6,5
114,Toyota Corolla Altis,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,173.0,5
115,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,90.0,5
116,Maruti Vitara Brezza,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5
117,Maruti Swift Dzire,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5
118,Maruti Wagon R,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5
119,Maruti Swift VDI,2010,300000,120000,Diesel,Individual,Manual,Second Owner,0.0,0,0.0,0.0,0
120,Nissan Terrano XL,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,200.0,5
121,Hyundai Creta 1.6,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5
122,Ford EcoSport 1.5,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,205.0,5
123,Maruti Swift Dzire,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,190.0,5
124,Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5
125,Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,90.0,5
126,Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,62.0,5
127,Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200.0,7
128,Hyundai Santro Xing,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,96.1,5
129,Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200.0,7
130,Honda Amaze S,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,109.0,5
131,Audi Q5 35TDI,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,400.0,5
132,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5
133,Jaguar XF 2.0,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5
134,Jeep Wrangler 2016-2019,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,347.0,5
135,Land Rover Discovery,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,382.0,7
136,Mercedes-Benz S-Class S,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,620.0,5
137,BMW 5 Series,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,400.0,5
138,BMW X1 sDrive,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,0.0,0,0.0,0.0,0
139,BMW X4 M,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5
140,Skoda Superb LK,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,250.0,5
141,Mercedes-Benz E-Class E250,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,500.0,5
142,MG Hector Sharp,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,250.0,5
143,Honda City i-VTEC,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,145.0,5
144,Toyota Corolla Altis,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,173.0,5
145,Volvo XC40 D4,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,400.0,5
146,Audi Q7 35,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,550.0,7
147,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,200.0,5
148,Mercedes-Benz S-Class S,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,490.0,5
149,BMW 5 Series,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,250.0,5
150,Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,177.5,5
151,Jaguar XE 2016-2019,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,430.0,5
152,Tata Nexon 1.2,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,170.0,5
153,Volkswagen Vento Petrol,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,153.0,5
154,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,177.5,5
155,Skoda Rapid 1.6,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5
156,Mercedes-Benz CLA 200,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,300.0,5
157,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,130.0,7
158,Mercedes-Benz New C-Class,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,300.0,5
159,Honda City V,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,146.0,5
160,Toyota Glanza V,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,113.0,5
161,Maruti Alto K10,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90.0,5
162,Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,113.0,5
163,Toyota Innova Crysta,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,360.0,7
164,Tata Nexon 1.5,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,260.0,5
165,BMW 3 Series,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,400.0,5
166,Toyota Camry 2.5,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5
167,BMW 5 Series,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,400.0,5
168,Toyota Camry W4,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,224.0,5
169,Maruti Ertiga BSIV,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,130.0,7
170,Volvo XC90 T8,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,640.0,4
171,Volkswagen Vento Diesel,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,250.0,5
172,Ford Figo Aspire,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5
173,Ford Figo Diesel,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160.0,5
174,Maruti Swift VXI,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5
175,Maruti Wagon R,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,90.0,5
176,Hyundai i20 Magna,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,114.7,5
177,Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4
178,Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,113.0,5
179,Hyundai Grand i10,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,114.0,5
180,Volkswagen Ameo 1.0,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,95.0,5
181,Hyundai Grand i10,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,114.0,5
182,Maruti Swift Dzire,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,114.0,5
183,Hyundai Xcent 1.2,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,114.0,5
184,Honda City 1.5,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,13.1,5
185,Toyota Corolla Altis,2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,205.0,5
186,Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,71.0,5
187,Toyota Fortuner 4x2,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,343.0,7
188,Mahindra KUV 100,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,115.0,6
189,Tata Zest Quadrajet,2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,190.0,5
190,Honda City 1.5,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,146.0,5
191,Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,78.0,5
192,Maruti Wagon R,2010,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90.0,5
193,Hyundai Verna Transform,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,14.9,5
194,Maruti Swift Dzire,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,115.0,5
195,Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,115.0,5
196,Hyundai Elite i20,2020,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,117.0,5
197,Maruti Ciaz 1.3,2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,200.0,5
198,Tata Tigor 1.2,2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,114.0,5
199,Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200.0,7
200,Toyota Etios GD,2012,235000,120000,Diesel,Individual,Manual,First Owner,0.0,0,0.0,0.0,0
201,Honda City i,2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,145.0,5
202,Honda Brio S,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,109.0,5
203,Maruti Wagon R,2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,77.0,5
204,Maruti Swift Dzire,2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5
205,Hyundai i20 Sportz,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7,5
206,Maruti Omni E,2003,40000,90000,Petrol,Individual,Manual,Second Owner,0.0,0,0.0,0.0,0
207,Maruti Wagon R,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,90.0,5
208,Maruti Swift Dzire,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5
209,Maruti Alto 800,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69.0,5
210,Maruti Swift Dzire,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,113.0,5
211,Maruti Swift VXI,2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5
212,Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,320.0,7
213,Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,113.7,5
214,Maruti Swift Dzire,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5
215,Maruti Wagon R,2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5
216,Toyota Corolla Altis,2012,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,173.0,5
217,Honda Brio S,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,109.0,5
218,Maruti Baleno Alpha,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,115.0,5
219,Tata Safari Storme,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7
220,Maruti Alto LXi,2011,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5
221,Renault KWID RXT,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5
222,Datsun GO T,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,104.0,5
223,Maruti Vitara Brezza,2017,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5
224,Hyundai Xcent 1.2,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5
225,Maruti Alto 800,2015,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5
226,Hyundai i20 1.2,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,11.4,5
227,Tata Zest Revotron,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,140.0,5
228,Maruti Swift 1.3,2008,130000,120000,Petrol,Individual,Manual,Second Owner,0.0,0,0.0,0.0,0
229,Nissan Sunny XL,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,134.0,5
230,Ford EcoSport 1.5,2018,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,150.0,5
231,Nissan Micra Active,2015,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,104.0,5
232,Maruti Wagon R,2016,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5
233,Mahindra Ssangyong Rexton,2013,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,340.0,7
234,Mahindra Quanto C8,2013,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,240.0,7
235,Maruti Ritz LDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,190.0,5
236,Hyundai Creta 1.6,2017,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5
237,Renault KWID RXT,2016,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5
